1.0000,74.0995,72.3603,6.5650,1.7392,0.0571
2.0000,72.8004,71.0820,6.4506,1.7183,0.0857
3.0000,71.2605,69.5709,6.3422,1.6896,0.0857
4.0000,70.7105,68.9916,6.3193,1.7189,0.0857
5.0000,69.8514,68.1516,6.2660,1.6999,0.1238
6.0000,68.7597,67.0658,6.2025,1.6939,0.0952
7.0000,66.5033,64.8222,6.0218,1.6811,0.1143
8.0000,66.0915,64.3697,5.9873,1.7218,0.1143
9.0000,63.1490,61.4546,5.8568,1.6944,0.1524
10.0000,62.9661,61.2073,5.8141,1.7588,0.0857
11.0000,59.1396,57.4277,5.5738,1.7119,0.1048
12.0000,56.3782,54.6756,5.4494,1.7026,0.1714
13.0000,54.2884,52.5867,5.3486,1.7016,0.1810
14.0000,52.1300,50.3884,5.3486,1.7416,0.1238
15.0000,50.7623,49.0441,5.2067,1.7182,0.1905
16.0000,46.0483,44.4074,4.9455,1.6409,0.2571
17.0000,43.1650,41.4403,4.8826,1.7247,0.2000
18.0000,36.4813,34.8423,4.5930,1.6390,0.2476
19.0000,39.8227,38.1372,4.7234,1.6855,0.2190
20.0000,36.6505,35.1261,4.7989,1.5243,0.3524
21.0000,39.0567,37.4544,4.8435,1.6024,0.3524
22.0000,37.3385,35.6982,4.5925,1.6403,0.2762
23.0000,35.7906,34.1639,4.4982,1.6268,0.2381
24.0000,34.8310,33.2237,4.4531,1.6073,0.3143
25.0000,33.4398,31.8387,4.4426,1.6011,0.3143
26.0000,36.2290,34.7025,4.6012,1.5265,0.3619
27.0000,30.2360,28.7053,4.1606,1.5306,0.3619
28.0000,29.2669,27.7760,4.2277,1.4909,0.3429
29.0000,33.6780,32.0826,4.2537,1.5954,0.3524
30.0000,33.5015,32.0028,4.3232,1.4987,0.3619
31.0000,29.5715,27.9856,3.9442,1.5860,0.3143
32.0000,30.5918,29.0095,4.4904,1.5823,0.3143
33.0000,29.3831,27.8671,3.9053,1.5159,0.2952
34.0000,32.5588,31.0574,4.4683,1.5014,0.3619
35.0000,34.1863,32.5892,4.2549,1.5971,0.3429
36.0000,29.6383,28.1172,4.0879,1.5211,0.3429
37.0000,24.1735,22.6262,3.7422,1.5473,0.3810
38.0000,27.4880,26.0249,3.8362,1.4630,0.3905
39.0000,30.3856,28.8519,4.2532,1.5337,0.3714
40.0000,27.6833,26.1638,4.1864,1.5195,0.4095
41.0000,31.0433,29.5484,4.1575,1.4949,0.3524
42.0000,26.2062,24.7033,3.8783,1.5029,0.3905
43.0000,29.1496,27.6754,4.1369,1.4742,0.3619
44.0000,25.5791,24.0879,3.8519,1.4912,0.4381
45.0000,23.1529,21.6549,3.6508,1.4981,0.3905
46.0000,31.9882,30.5569,4.4933,1.4314,0.3905
47.0000,27.5028,26.0810,3.7846,1.4218,0.4286
48.0000,27.2831,25.7830,4.1139,1.5002,0.4000
49.0000,27.5730,26.1546,4.0845,1.4184,0.4476
50.0000,25.5110,24.0422,3.7905,1.4687,0.3619
51.0000,24.0118,22.5069,3.7055,1.5049,0.3810
52.0000,21.9644,20.4437,3.5077,1.5207,0.3524
53.0000,22.4275,20.9602,3.6811,1.4674,0.3905
54.0000,25.3828,23.9840,3.9227,1.3988,0.4190
55.0000,25.2328,23.7394,3.6879,1.4933,0.3714
56.0000,29.4115,27.9398,4.1171,1.4716,0.4190
57.0000,19.7281,18.3135,3.4775,1.4145,0.3714
58.0000,23.1594,21.6774,3.5784,1.4819,0.3429
59.0000,25.0264,23.5695,3.5717,1.4570,0.4381
60.0000,21.0825,19.6229,3.4893,1.4596,0.3905
61.0000,22.8569,21.4214,3.3644,1.4355,0.3714
